segment_id,level_rule_id,level,level_score,computed_at
SEG_000398,1,2,38.5,2026-02-16 01:31:59
SEG_000399,1,2,35.5,2026-02-16 01:31:59
SEG_000400,1,2,33.0,2026-02-16 01:31:59
SEG_000401,1,2,34.5,2026-02-16 01:31:59
SEG_000402,1,2,41.5,2026-02-16 01:31:59
SEG_000403,1,2,36.8,2026-02-16 01:31:59
SEG_000404,1,2,36.0,2026-02-16 01:31:59
SEG_000405,1,2,33.0,2026-02-16 01:31:59
SEG_000406,1,3,42.0,2026-02-16 01:31:59
SEG_000407,1,3,42.0,2026-02-16 01:31:59
SEG_000408,1,2,33.0,2026-02-16 01:31:59
SEG_000409,1,3,46.5,2026-02-16 01:31:59
SEG_000410,1,2,33.0,2026-02-16 01:31:59
SEG_000411,1,3,45.0,2026-02-16 01:31:59
SEG_000412,1,3,42.0,2026-02-16 01:31:59
SEG_000413,1,2,33.0,2026-02-16 01:31:59
SEG_000414,1,2,33.0,2026-02-16 01:31:59
SEG_000415,1,2,38.8,2026-02-16 01:31:59
SEG_000416,1,2,40.0,2026-02-16 01:31:59
SEG_000417,1,2,36.0,2026-02-16 01:31:59
SEG_000418,1,2,34.5,2026-02-16 01:31:59
SEG_000419,1,2,36.0,2026-02-16 01:31:59
SEG_000420,1,3,43.2,2026-02-16 01:31:59
SEG_000421,1,3,46.0,2026-02-16 01:31:59
SEG_000422,1,3,43.0,2026-02-16 01:31:59
SEG_000423,1,3,43.0,2026-02-16 01:31:59
SEG_000424,1,2,37.2,2026-02-16 01:31:59
SEG_000425,1,3,72.5,2026-02-16 01:31:59
SEG_000426,1,3,44.8,2026-02-16 01:31:59
SEG_000427,1,3,44.8,2026-02-16 01:31:59
SEG_000428,1,2,38.5,2026-02-16 01:31:59
SEG_000429,1,3,53.9,2026-02-16 01:31:59
SEG_000430,1,3,53.9,2026-02-16 01:31:59
SEG_000431,1,2,36.0,2026-02-16 01:31:59
SEG_000432,1,3,53.9,2026-02-16 01:31:59
SEG_000433,1,3,50.9,2026-02-16 01:31:59
SEG_000434,1,2,33.0,2026-02-16 01:31:59
SEG_000435,1,2,35.5,2026-02-16 01:31:59
SEG_000436,1,2,35.5,2026-02-16 01:31:59
SEG_000437,1,2,35.5,2026-02-16 01:31:59
SEG_000438,1,2,35.5,2026-02-16 01:31:59
SEG_000439,1,2,35.5,2026-02-16 01:31:59
SEG_000440,1,2,35.5,2026-02-16 01:31:59
SEG_000441,1,2,35.5,2026-02-16 01:31:59
SEG_000442,1,2,37.0,2026-02-16 01:31:59
SEG_000443,1,2,35.5,2026-02-16 01:31:59
SEG_000444,1,2,35.5,2026-02-16 01:31:59
SEG_000445,1,2,35.5,2026-02-16 01:31:59
SEG_000446,1,2,35.5,2026-02-16 01:31:59
SEG_000447,1,2,35.5,2026-02-16 01:31:59
SEG_000448,1,2,35.5,2026-02-16 01:31:59
SEG_000449,1,2,37.0,2026-02-16 01:31:59
SEG_000450,1,2,35.5,2026-02-16 01:31:59
SEG_000451,1,2,37.0,2026-02-16 01:31:59
SEG_000452,1,2,35.5,2026-02-16 01:31:59
SEG_000453,1,2,35.5,2026-02-16 01:31:59
SEG_000454,1,2,35.5,2026-02-16 01:31:59
SEG_000455,1,2,35.5,2026-02-16 01:31:59
SEG_000456,1,2,35.5,2026-02-16 01:31:59
SEG_000457,1,2,38.5,2026-02-16 01:31:59
SEG_000458,1,2,37.0,2026-02-16 01:31:59
SEG_000459,1,2,35.5,2026-02-16 01:31:59
SEG_000460,1,2,37.0,2026-02-16 01:31:59
SEG_000461,1,2,35.5,2026-02-16 01:31:59
SEG_000462,1,2,35.5,2026-02-16 01:31:59
SEG_000463,1,2,35.5,2026-02-16 01:31:59
SEG_000464,1,3,50.5,2026-02-16 01:31:59
SEG_000465,1,2,35.5,2026-02-16 01:31:59
SEG_000466,1,2,37.0,2026-02-16 01:31:59
SEG_000467,1,2,35.5,2026-02-16 01:31:59
SEG_000468,1,2,35.5,2026-02-16 01:31:59
SEG_000469,1,2,38.5,2026-02-16 01:31:59
SEG_000470,1,2,38.5,2026-02-16 01:31:59
SEG_000471,1,2,33.0,2026-02-16 01:31:59
SEG_000472,1,2,35.5,2026-02-16 01:31:59
SEG_000473,1,2,35.5,2026-02-16 01:31:59
SEG_000474,1,2,38.5,2026-02-16 01:31:59
SEG_000475,1,2,35.5,2026-02-16 01:31:59
SEG_000476,1,2,38.5,2026-02-16 01:31:59
SEG_000477,1,2,35.5,2026-02-16 01:31:59
