segment_id,original_way_id,road_name,highway_type,lanes,width,maxspeed,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,num_points,coordinates_json
SEG_000021,37398884,일원로3길,tertiary,,,,37.4934732,127.0869294,37.49156,127.08192,37.49245385454546,127.08405520000001,11,"[[127.0869294, 37.4934732], [127.0864471, 37.4933132], [127.0853463, 37.4929394], [127.0843201, 37.4925953], [127.08381, 37.49241], [127.0836379, 37.4923494], [127.08352, 37.49231], [127.0832921, 37.4921987], [127.08309, 37.4921], [127.0822943, 37.4917432], [127.08192, 37.49156]]"
SEG_000022,37398884,일원로3길,tertiary,,,,37.49156,127.08192,37.4910153,127.0807654,37.491287650000004,127.0813427,2,"[[127.08192, 37.49156], [127.0807654, 37.4910153]]"
SEG_000023,37398887,개포로,tertiary,4,,,37.4782831,127.0446487,37.4788166,127.0475145,37.478632385714285,127.046497,7,"[[127.0446487, 37.4782831], [127.0455111, 37.4784529], [127.0464663, 37.4786308], [127.04691, 37.4787093], [127.0470361, 37.4787321], [127.0473923, 37.4788019], [127.0475145, 37.4788166]]"
SEG_000024,37399318,광나루로,primary,,,,37.5407426,127.096303,37.5393238,127.0982515,37.54004213333334,127.09726483333334,3,"[[127.096303, 37.5407426], [127.09724, 37.54006], [127.0982515, 37.5393238]]"
SEG_000025,37399320,강동대로,primary,,,,37.5379664,127.0998337,37.5374,127.10039,37.537683200000004,127.10011185,2,"[[127.0998337, 37.5379664], [127.10039, 37.5374]]"
SEG_000026,37399363,구의강변로,tertiary,,,,37.530991,127.0919082,37.5344847,127.0917181,37.53313188571428,127.09171932857143,7,"[[127.0919082, 37.530991], [127.0917189, 37.5325176], [127.0917016, 37.5326887], [127.09167, 37.533], [127.0916212, 37.5338736], [127.0916973, 37.5343676], [127.0917181, 37.5344847]]"
SEG_000027,37399402,성덕정길,tertiary,,,,37.5363584,127.0604605,37.53663,127.05769,37.53650639090909,127.0588691181818,11,"[[127.0604605, 37.5363584], [127.0604062, 37.5363703], [127.0595911, 37.5364296], [127.0593822, 37.5364558], [127.05896, 37.53651], [127.0586738, 37.5365317], [127.0583439, 37.5365508], [127.05813, 37.53656], [127.0580593, 37.5365713], [127.0578633, 37.5366024], [127.05769, 37.53663]]"
SEG_000028,37399402,성덕정길,tertiary,,,,37.53663,127.05769,37.53732,127.05509,37.536961590909094,127.05620011818182,11,"[[127.05769, 37.53663], [127.0574, 37.53665], [127.0573, 37.53669], [127.05676, 37.53675], [127.05639, 37.53686], [127.05586, 37.53702], [127.0556983, 37.5370727], [127.0554, 37.53717], [127.05534, 37.53719], [127.055273, 37.5372248], [127.05509, 37.53732]]"
SEG_000029,37399402,성덕정길,tertiary,,,,37.53732,127.05509,37.53786,127.0527,37.53759738181818,127.0540059090909,11,"[[127.05509, 37.53732], [127.0549982, 37.5373561], [127.05481, 37.53743], [127.05442, 37.53753], [127.0543176, 37.5375521], [127.0540982, 37.5375978], [127.0538, 37.53766], [127.0534901, 37.5377163], [127.0533413, 37.5377434], [127.0529996, 37.5378055], [127.0527, 37.53786]]"
SEG_000030,37399402,성덕정길,tertiary,,,,37.53786,127.0527,37.5383638,127.0492306,37.538041518181814,127.05109115454546,11,"[[127.0527, 37.53786], [127.0522843, 37.537914], [127.0521729, 37.5379284], [127.05199, 37.53795], [127.05158, 37.53802], [127.0514201, 37.5379963], [127.05076, 37.53798], [127.050545, 37.5379857], [127.0499496, 37.538141], [127.0493702, 37.5383175], [127.0492306, 37.5383638]]"
SEG_000031,37399402,성덕정길,tertiary,,,,37.5383638,127.0492306,37.5398934,127.0443398,37.538962272727275,127.04732176363636,11,"[[127.0492306, 37.5383638], [127.0490242, 37.5384323], [127.048891, 37.5384751], [127.0484935, 37.5386028], [127.0483496, 37.5386491], [127.04788, 37.5388], [127.0472834, 37.5389859], [127.0464912, 37.5392085], [127.0459221, 37.5393768], [127.044634, 37.5397973], [127.0443398, 37.5398934]]"
SEG_000032,37399402,성덕정길,tertiary,,,,37.5398934,127.0443398,37.5400773,127.0437747,37.540006,127.04399430000001,3,"[[127.0443398, 37.5398934], [127.0438684, 37.5400473], [127.0437747, 37.5400773]]"
SEG_000033,37399453,구의로,tertiary,,,,37.5378477,127.089173,37.5379465,127.0891318,37.537897099999995,127.0891524,2,"[[127.089173, 37.5378477], [127.0891318, 37.5379465]]"
SEG_000034,37399874,논현로,primary,,,,37.4713595,127.0512487,37.4715589,127.0510374,37.4714592,127.05114305000001,2,"[[127.0512487, 37.4713595], [127.0510374, 37.4715589]]"
SEG_000035,37400052,개포로109길,residential,,,,37.4947416,127.0783363,37.49316,127.07611,37.494233,127.07738967272726,11,"[[127.0783363, 37.4947416], [127.078175, 37.494679], [127.0779483, 37.4945909], [127.07753, 37.49443], [127.0774855, 37.4943989], [127.0773523, 37.4943056], [127.07733, 37.49429], [127.0773014, 37.494261], [127.0769842, 37.4939686], [127.0767334, 37.4937374], [127.07611, 37.49316]]"
SEG_000036,37400052,개포로109길,residential,,,,37.49316,127.07611,37.4925514,127.0762603,37.49286788571429,127.0761364,7,"[[127.07611, 37.49316], [127.0760765, 37.4930884], [127.0760364, 37.4930026], [127.0760469, 37.4929783], [127.0761723, 37.4927274], [127.0762524, 37.4925671], [127.0762603, 37.4925514]]"
SEG_000037,37400096,도곡로,secondary,,,,37.5014165,127.0687745,37.4989374,127.0610079,37.50040719090909,127.0656029909091,11,"[[127.0687745, 37.5014165], [127.0685921, 37.5013606], [127.0675847, 37.5010315], [127.0673331, 37.5009544], [127.0665907, 37.500735], [127.0660218, 37.5005561], [127.0648724, 37.5001816], [127.0647225, 37.5001379], [127.063553, 37.499745], [127.0625802, 37.4994231], [127.0610079, 37.4989374]]"
SEG_000038,37400096,도곡로,secondary,,,,37.4989374,127.0610079,37.4989265,127.0609727,37.49893195,127.0609903,2,"[[127.0610079, 37.4989374], [127.0609727, 37.4989265]]"
SEG_000039,37400263,논현로,primary,2,,,37.5374208,127.0201215,37.5334291,127.0229525,37.53542495,127.021537,2,"[[127.0201215, 37.5374208], [127.0229525, 37.5334291]]"
